,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source,Item_Type_Combined,years
94,Non-Edible,NCR17,114.5492,1274.3412,0.024378706,9.8,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
95,Low Fat,FDU04,120.0414,487.3656,0.009714595,7.93,OUT019,Tier 1,Small,Grocery Store,train,Food,28
96,Low Fat,FDF41,246.046,1231.73,0.131383762,12.15,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
97,Regular,FDB56,187.4556,3755.112,0.07461309,8.75,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
98,Non-Edible,NCP18,149.9708,4363.6532,0.028459761,12.150000000000002,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-consumable,28
99,Regular,FDB56,187.8556,1314.2892,0.07462720099999999,8.75,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
100,Low Fat,FDT28,151.0708,1805.6496,0.063695084,13.3,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
101,Regular,FDD10,178.5344,2854.9504,0.045797829000000005,20.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
102,Regular,FDW57,179.1028,3896.2616,0.11585722300000001,8.31,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
103,Regular,DRB48,38.7822,667.7974,0.024832806000000002,16.75,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,26
104,Low Fat,FDP09,212.0902,3185.853,0.034027909,19.75,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
105,Regular,FDH14,141.1838,2247.7408,0.046769599999999995,17.1,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
106,Regular,FDA47,163.121,1794.3310000000001,0.11657670199999999,10.5,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
107,Regular,FDG12,121.3098,2530.7058,0.004924115333333334,6.635,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
108,Low Fat,DRE60,225.372,679.1160000000001,0.278974075,9.394999999999998,OUT019,Tier 1,Small,Grocery Store,train,Drinks,28
109,Low Fat,DRK49,41.4138,812.2760000000001,0.035913805,14.15,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,26
110,Low Fat,FDD03,232.53,699.09,0.079806266,13.3,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
111,Low Fat,FDS52,102.4016,2732.4432,0.005505481,8.89,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
112,Regular,FDW39,176.937,176.437,0.064625342,6.6899999999999995,OUT019,Tier 1,Small,Grocery Store,train,Food,28
113,Low Fat,FDX34,121.7098,4097.3332,0.071636937,6.195,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
114,Regular,FDV11,173.2054,3151.8972,0.078393078375,9.1,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
115,Low Fat,FDD17,239.0906,5942.265,0.032677677999999995,7.5,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
116,Regular,FDZ16,192.4478,4843.695,0.160760054,16.85,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
117,Low Fat,FDZ46,109.0228,2542.0244,0.06911065,7.485,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
118,Low Fat,DRA12,140.3154,2552.6772,0.041177505,11.6,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,6
119,Low Fat,FDY58,227.0694,1141.847,0.040081193,11.65,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
120,Non-Edible,NCF19,47.5034,680.4476,0.035307322,13.0,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
121,Low Fat,DRJ13,159.0578,2085.9514,0.063017847,12.65,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,11
122,Regular,FDB14,92.512,186.424,0.171938781,20.25,OUT010,Tier 3,Small,Grocery Store,train,Food,15
123,Regular,FDJ38,190.153,3036.048,0.040197932,8.6,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
124,Low Fat,FDW11,62.7194,866.8716,0.049058014000000004,12.6,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
125,Low Fat,FDL40,95.041,868.8689999999999,0.01161096,17.7,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
126,Low Fat,DRI49,82.4276,1137.1864,0.183507295,14.15,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,16
127,Low Fat,FDV38,52.7956,928.1252,0.102349519,19.25,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
128,Low Fat,DRG23,151.7682,762.341,0.08670898699999999,8.88,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,26
129,Non-Edible,NCP30,40.2822,707.0796,0.032835147,20.5,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
130,Low Fat,FDY25,180.5976,7968.2944,0.033809913,12.0,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
131,Non-Edible,NCH54,160.292,1438.128,0.07266912,13.5,OUT046,Tier 1,Small,Supermarket Type1,train,Non-consumable,16
132,Non-Edible,NCR53,224.4404,6976.2524,0.144338493,12.150000000000002,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-consumable,28
133,Low Fat,FDS52,101.7016,101.2016,0.009163216,8.89,OUT010,Tier 3,Small,Grocery Store,train,Food,15
134,Low Fat,FDG02,188.5188,952.0939999999999,0.011307038,7.855,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
135,Non-Edible,NCO26,116.0492,1969.4364,0.076855628,7.235,OUT046,Tier 1,Small,Supermarket Type1,train,Non-consumable,16
136,Low Fat,FDH35,165.4526,5262.4832,0.059956876,18.25,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
137,Low Fat,FDB51,60.5852,1314.2892,0.038532062,6.92,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
138,Low Fat,FDX44,90.8172,535.3032,0.043209581,9.3,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
139,Non-Edible,NCN07,132.1284,263.6568,0.056816465,18.5,OUT010,Tier 3,Small,Grocery Store,train,Non-consumable,15
140,Non-Edible,NCC31,154.5972,1402.1748,0.019866705,8.02,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
141,Non-Edible,NCX54,105.1622,1693.7952,0.048331717,9.195,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
142,Non-Edible,NCO55,105.5938,2143.876,0.091221855,12.8,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
143,Non-Edible,NCC30,177.6344,2676.5159999999996,0.027622076000000002,16.6,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
144,Regular,FDI16,53.06399999999999,905.488,0.14164533829999998,14.0,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
145,Low Fat,FDP16,246.3802,7370.406,0.039355947,18.6,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
146,Low Fat,FDB11,226.8404,6301.1312,0.060836524,16.0,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
147,Non-Edible,NCB06,160.692,1597.92,0.082316506,17.6,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
148,Low Fat,FDA45,178.237,529.311,0.155350299,21.25,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
149,Non-Edible,NCO26,117.5492,1969.4364,0.076841095,7.235,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
150,Low Fat,DRJ25,50.3692,1034.6532,0.151419185,14.6,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,6
151,Regular,FDR28,161.52100000000002,1794.3310000000001,0.026001976,13.85,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
152,Regular,FDI04,197.6426,2768.3964,0.073209447,13.65,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
153,Low Fat,DRK12,31.29,898.83,0.041683481,9.5,OUT027,Tier 3,Medium,Supermarket Type3,train,Drinks,28
154,Low Fat,FDX20,226.172,3169.208,0.042560252,7.365,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
155,Non-Edible,NCI18,223.5746,3589.9936,0.014081156000000001,18.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
156,Regular,FDB36,132.5626,262.3252,0.030340533875000006,5.465,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
157,Low Fat,FDN13,99.8358,1910.1802,0.152918384,18.6,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
158,Low Fat,DRD24,140.9154,1701.7848,0.030969273999999998,13.85,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,6
159,Regular,FDQ28,154.5656,2471.4496,0.06037677599999999,14.0,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
160,Regular,FDM22,54.763999999999996,1331.6,0.04192285,14.0,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
161,Low Fat,FDR07,97.0094,1808.9786,0.077367431,21.349999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
162,Low Fat,FDV25,222.5456,3315.684,0.045838211,5.905,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
163,Low Fat,DRF49,114.2518,2618.5914,0.071077939,7.27,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,16
164,Regular,FDW51,214.55599999999998,2769.728,0.09465987099999999,6.155,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
165,Regular,DRL01,233.4958,5375.0034,0.077608838,19.5,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,6
166,Low Fat,FDP25,216.8824,2838.9712,0.021327477,15.2,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
167,Regular,FDL50,125.0046,1743.0644,0.042485444000000004,12.15,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
168,Non-Edible,NCB30,198.8084,5555.4352,0.025578526,14.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-consumable,28
169,Low Fat,FDW11,61.9194,619.194,0.048980800000000005,12.6,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
170,Non-Edible,NCM43,164.821,2120.573,0.019471688,14.5,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
171,Low Fat,FDK44,173.0738,3823.0236,0.122918852,16.6,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
172,Regular,FDM15,151.4366,1360.2294,0.057373797000000004,11.8,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
173,Regular,FDS31,178.8318,3969.4996,0.044155597000000005,13.1,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
174,Low Fat,FDI32,115.1834,345.5502,0.291865402,17.7,OUT010,Tier 3,Small,Grocery Store,train,Food,15
175,Low Fat,FDR47,196.5794,585.2382,0.0853547126,17.85,OUT010,Tier 3,Small,Grocery Store,train,Food,15
176,Regular,FDB35,92.6804,1010.6844,0.064750025,12.3,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
177,Non-Edible,NCU05,81.4618,161.1236,0.098312421,11.8,OUT010,Tier 3,Small,Grocery Store,train,Non-consumable,15
178,Regular,DRY23,42.1112,42.6112,0.191013663,9.394999999999998,OUT019,Tier 1,Small,Grocery Store,train,Drinks,28
179,Low Fat,FDO24,157.4604,3010.7476,0.176573035,11.1,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
180,Regular,FDQ28,153.0656,6024.1584,0.060134441,14.0,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
181,Low Fat,FDV39,198.1426,988.7130000000001,0.0072946519999999996,11.3,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
182,Non-Edible,NCO17,117.944,239.688,0.128478462,10.0,OUT019,Tier 1,Small,Grocery Store,train,Non-consumable,28
183,Regular,FDU50,112.8176,1374.2112,0.075107656,5.75,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
184,Regular,FDT12,226.8062,4739.8302,0.049381405999999996,6.215,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
185,Regular,FDK58,100.0016,1012.0160000000001,0.045165795999999994,11.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
186,Regular,FDO08,165.7526,657.8104,0.09415375,11.099999999999998,OUT019,Tier 1,Small,Grocery Store,train,Food,28
187,Non-Edible,NCW29,130.431,778.9860000000001,0.028907832,14.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
188,Regular,FDE04,179.766,2336.958,0.018059621,19.75,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
189,Non-Edible,NCB19,85.0882,2233.0932,0.09043609400000001,6.525,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
190,Low Fat,FDV15,103.9648,1661.8368,0.146399712,10.3,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
191,Regular,FDL58,264.7568,4745.8224,0.07426435599999999,5.78,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
192,Regular,FDA08,164.1526,3124.5994,0.050186725999999994,11.85,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
193,Low Fat,FDT43,50.1324,467.3916,0.020631654,16.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
194,Non-Edible,NCX06,182.5976,5070.7328,0.01561108,17.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-consumable,28
195,Low Fat,FDT20,37.6164,540.6296,0.041395445,10.5,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
196,Regular,FDB41,48.0718,992.7078,0.097313129,19.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
197,Non-Edible,NCN55,238.8538,6008.845,0.059582996,14.6,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
198,Regular,FDE40,62.9194,2105.2596,0.09866365199999999,15.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
199,Regular,FDX49,232.63,5359.69,0.101338651,4.615000000000001,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
200,Non-Edible,NCM53,104.62799999999999,745.696,0.052146455999999994,18.75,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
201,Regular,FDE36,161.8868,3275.736,0.041764487,5.26,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
202,Low Fat,FDN57,140.2154,1701.7848,0.054344185999999996,18.25,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
203,Low Fat,FDI24,177.937,6704.606,0.07836248400000001,10.299999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
204,Low Fat,FDI19,242.7512,4119.9704,0.052339069,15.1,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
205,Regular,FDF24,81.5934,327.5736,0.042464962,15.5,OUT010,Tier 3,Small,Grocery Store,train,Food,15
206,Low Fat,FDG52,45.7402,780.9834,0.06573288299999999,13.65,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
207,Low Fat,DRF36,189.3846,3630.6074,0.023625114,16.1,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,11
208,Regular,FDS45,107.3622,317.5866,0.051643608,5.175,OUT019,Tier 1,Small,Grocery Store,train,Food,28
209,Low Fat,FDX40,39.7164,231.6984,0.165694219,12.85,OUT010,Tier 3,Small,Grocery Store,train,Food,15
210,Low Fat,DRK12,32.99,133.16,0.041878397000000005,9.5,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,9
